filename_ts;fullfilename_ts;filename;fullfilename;species;id;categories;abs_min_t;min_y;min_x;max_y;max_x;min_f;min_t;max_f;max_t;centroid_y;centroid_x;snr;duration_x;bandwidth_y;area_xy;centroid_f;centroid_t;duration_t;bandwidth_f;area_tf;ratio_yx;date
XC487835_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC487835_0s_00.wav;XC487835.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC487835.mp3;Columba palumbus_Common Wood Pigeon;487835;colpal;0.0;0;324;15;935;281.25;3.466666666666667;984.375;9.984;5.0;633.0;33.74959801284885;14.997333333333334;656.25;24032.0;515.625;6.762666666666667;6.517333333333333;703.125;3004.0;0.0245499181669394;2019-07-17
XC653672_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC653672_0s_00.wav;XC653672.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC653672.mp3;Columba palumbus_Common Wood Pigeon;653672;colpal;0.0;0;113;10;935;281.25;1.216;750.0;9.984;4.0;559.0;27.398134966407248;10.005333333333333;843.75;23380.0;468.75;5.973333333333334;8.767999999999999;468.75;2922.5;0.0121654501216545;2021-05-30
XC805780_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC805780_0s_00.wav;XC805780.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC805780.mp3;Columba palumbus_Common Wood Pigeon;805780;colpal;0.0;0;317;8;935;281.25;3.392;656.25;9.984;5.0;607.0;27.976814536890338;8.0;656.25;19000.0;515.625;6.485333333333333;6.592;375.0;2375.0;0.0129449838187702;2023-03-12
XC733752_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC733752_0s_00.wav;XC733752.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC733752.mp3;Columba palumbus_Common Wood Pigeon;733752;colpal;0.0;0;0;250;935;281.25;0.0106666666666666;12000.0;9.984;48.0;518.0;45.07330723237843;250.0053333333333;937.5;400128.0;2531.25;5.536;9.973333333333333;11718.75;50016.0;0.267379679144385;2022-06-22
XC643547_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC643547_0s_00.wav;XC643547.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC643547.mp3;Columba palumbus_Common Wood Pigeon;643547;colpal;0.0;0;170;11;935;281.25;1.824;796.875;9.984;6.0;519.0;28.400213725082303;11.008;750.0;24920.0;562.5;5.546666666666667;8.16;515.625;3115.0;0.0143790849673202;2021-04-28
XC552810_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC552810_0s_00.wav;XC552810.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC552810.mp3;Columba palumbus_Common Wood Pigeon;552810;colpal;0.0;0;150;142;387;281.25;1.6106666666666667;6937.5;4.1386666666666665;49.0;271.0;32.29223244848719;141.99466666666666;281.25;17812.0;2578.125;2.901333333333333;2.528;6656.25;2226.5;0.5991561181434599;2010-03-14
XC410908_0s_01.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC410908_0s_01.wav;XC410908.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC410908.mp3;Columba palumbus_Common Wood Pigeon;410908;colpal;0.0;0;922;16;935;281.25;9.845333333333333;1031.25;9.984;3.0;927.0;29.386888022893977;16.0;0.0;840.0;421.875;9.898666666666667;0.1386666666666666;750.0;105.0;1.2307692307692308;2018-04-08
XC792288_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC792288_0s_00.wav;XC792288.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC792288.mp3;Columba palumbus_Common Wood Pigeon;792288;colpal;0.0;0;315;26;795;281.25;3.3706666666666667;1500.0;8.490666666666666;4.0;501.0;38.32288885679748;26.005333333333333;468.75;16404.0;468.75;5.354666666666667;5.12;1218.75;2050.5;0.0541666666666666;2023-04-08
XC719579_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC719579_0s_00.wav;XC719579.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC719579.mp3;Columba palumbus_Common Wood Pigeon;719579;colpal;0.0;0;198;13;261;281.25;2.1226666666666665;890.625;2.794666666666666;6.0;226.0;30.802943133980285;12.992;93.75;2672.0;562.5;2.421333333333333;0.6719999999999999;609.375;334.0;0.2063492063492063;2022-04-25
XC512606_0s_00.wav;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES_ROIS/Columba palumbus_Common Wood Pigeon/XC512606_0s_00.wav;XC512606.mp3;build_dataset_temp/WORKFLOW_MULTIPLE_SPECIES/Columba palumbus_Common Wood Pigeon/XC512606.mp3;Columba palumbus_Common Wood Pigeon;512606;colpal;0.0;0;178;9;270;281.25;1.909333333333333;703.125;2.8906666666666667;4.0;223.0;26.400155724492752;9.002666666666666;93.75;2872.0;468.75;2.389333333333333;0.9813333333333332;421.875;359.0;0.0978260869565217;2017-06-20
