filename_ts;code;species;birdnet_label
XC100975_0.wav;embcit;Emberiza citrinella_Yellowhammer;1
XC100975_1.wav;embcit;Emberiza citrinella_Yellowhammer;1
XC100975_2.wav;embcit;Emberiza citrinella_Yellowhammer;0
XC101520_0.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC101520_1.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC101520_2.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC101520_3.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC101520_4.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC101529_0.wav;erirub;Erithacus rubecula_European Robin;0
XC101529_1.wav;erirub;Erithacus rubecula_European Robin;1
XC101529_2.wav;erirub;Erithacus rubecula_European Robin;1
XC101529_3.wav;erirub;Erithacus rubecula_European Robin;0
XC101529_4.wav;erirub;Erithacus rubecula_European Robin;0
XC101529_5.wav;erirub;Erithacus rubecula_European Robin;0
XC102476_0.wav;turvis;Turdus viscivorus_Mistle Thrush;1
XC102476_1.wav;turvis;Turdus viscivorus_Mistle Thrush;1
XC102476_2.wav;turvis;Turdus viscivorus_Mistle Thrush;0
XC103305_0.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_1.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_2.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_3.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_4.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_5.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_6.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_7.wav;cuccan;Cuculus canorus_Common Cuckoo;1
XC103305_8.wav;cuccan;Cuculus canorus_Common Cuckoo;0
XC103305_9.wav;cuccan;Cuculus canorus_Common Cuckoo;0
XC104607_0.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC104607_1.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC104607_2.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC104607_3.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC105185_0.wav;embcit;Emberiza citrinella_Yellowhammer;1
XC105185_1.wav;embcit;Emberiza citrinella_Yellowhammer;1
XC105185_2.wav;embcit;Emberiza citrinella_Yellowhammer;1
XC107153_0.wav;stralu;Strix aluco_Tawny Owl;1
XC107153_1.wav;stralu;Strix aluco_Tawny Owl;1
XC107153_2.wav;stralu;Strix aluco_Tawny Owl;1
XC114388_0.wav;cerbra;Certhia brachydactyla_Short-toed Treecreeper;1
XC114388_1.wav;cerbra;Certhia brachydactyla_Short-toed Treecreeper;1
XC116413_0.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC116413_1.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC116413_2.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC116413_3.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC118529_0.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC118529_1.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC118529_2.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC118529_3.wav;phopho;Phoenicurus phoenicurus_Common Redstart;0
XC122937_0.wav;cerbra;Certhia brachydactyla_Short-toed Treecreeper;1
XC128885_0.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC128885_1.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC128885_2.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC128885_3.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC128885_4.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC128885_5.wav;siteur;Sitta europaea_Eurasian Nuthatch;0
XC128885_6.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC128885_7.wav;siteur;Sitta europaea_Eurasian Nuthatch;0
XC128885_8.wav;siteur;Sitta europaea_Eurasian Nuthatch;1
XC130072_0.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC130842_0.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC130842_1.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC130842_2.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC130842_3.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC130842_4.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC131864_0.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC131864_1.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC131864_2.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC131864_3.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC131864_4.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC131864_5.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC131864_6.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC131864_7.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC131977_0.wav;anttri;Anthus trivialis_Tree Pipit;1
XC131977_1.wav;anttri;Anthus trivialis_Tree Pipit;1
XC131977_2.wav;anttri;Anthus trivialis_Tree Pipit;0
XC132163_0.wav;prumod;Prunella modularis_Dunnock;1
XC132163_1.wav;prumod;Prunella modularis_Dunnock;1
XC132163_2.wav;prumod;Prunella modularis_Dunnock;1
XC132163_3.wav;prumod;Prunella modularis_Dunnock;1
XC132451_1.wav;anttri;Anthus trivialis_Tree Pipit;0
XC132451_2.wav;anttri;Anthus trivialis_Tree Pipit;1
XC132451_3.wav;anttri;Anthus trivialis_Tree Pipit;1
XC132794_0.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC132794_1.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC132794_2.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC132794_3.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
XC132794_4.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;0
XC133030_0.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC133030_1.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC133030_2.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC133030_3.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC133030_4.wav;phopho;Phoenicurus phoenicurus_Common Redstart;0
XC133030_5.wav;phopho;Phoenicurus phoenicurus_Common Redstart;0
XC133371_0.wav;fricoe;Fringilla coelebs_Common Chaffinch;1
XC133371_1.wav;fricoe;Fringilla coelebs_Common Chaffinch;1
XC133371_2.wav;fricoe;Fringilla coelebs_Common Chaffinch;1
XC133550_0.wav;prumod;Prunella modularis_Dunnock;1
XC133550_1.wav;prumod;Prunella modularis_Dunnock;1
XC133550_2.wav;prumod;Prunella modularis_Dunnock;0
XC135493_0.wav;turphi;Turdus philomelos_Song Thrush;0
XC135493_1.wav;turphi;Turdus philomelos_Song Thrush;0
XC135493_2.wav;turphi;Turdus philomelos_Song Thrush;0
XC135493_3.wav;turphi;Turdus philomelos_Song Thrush;0
XC135493_4.wav;turphi;Turdus philomelos_Song Thrush;0
XC135493_5.wav;turphi;Turdus philomelos_Song Thrush;0
XC135493_6.wav;turphi;Turdus philomelos_Song Thrush;0
XC135493_7.wav;turphi;Turdus philomelos_Song Thrush;0
XC137607_0.wav;stralu;Strix aluco_Tawny Owl;1
XC137607_1.wav;stralu;Strix aluco_Tawny Owl;1
XC138645_0.wav;turphi;Turdus philomelos_Song Thrush;0
XC138645_1.wav;turphi;Turdus philomelos_Song Thrush;1
XC138645_2.wav;turphi;Turdus philomelos_Song Thrush;0
XC138645_3.wav;turphi;Turdus philomelos_Song Thrush;0
XC138645_4.wav;turphi;Turdus philomelos_Song Thrush;1
XC138838_0.wav;erirub;Erithacus rubecula_European Robin;1
XC138838_1.wav;erirub;Erithacus rubecula_European Robin;1
XC138838_2.wav;erirub;Erithacus rubecula_European Robin;1
XC138838_3.wav;erirub;Erithacus rubecula_European Robin;1
XC138838_4.wav;erirub;Erithacus rubecula_European Robin;0
XC138838_5.wav;erirub;Erithacus rubecula_European Robin;0
XC139554_0.wav;sylatr;Sylvia atricapilla_Eurasian Blackcap;1
XC139554_1.wav;sylatr;Sylvia atricapilla_Eurasian Blackcap;0
XC140083_0.wav;erirub;Erithacus rubecula_European Robin;1
XC140083_1.wav;erirub;Erithacus rubecula_European Robin;0
XC140083_2.wav;erirub;Erithacus rubecula_European Robin;1
XC140083_3.wav;erirub;Erithacus rubecula_European Robin;1
XC140578_0.wav;embcit;Emberiza citrinella_Yellowhammer;1
XC140578_1.wav;embcit;Emberiza citrinella_Yellowhammer;1
XC142638_0.wav;turvis;Turdus viscivorus_Mistle Thrush;1
XC142638_1.wav;turvis;Turdus viscivorus_Mistle Thrush;1
XC142638_2.wav;turvis;Turdus viscivorus_Mistle Thrush;1
XC142638_3.wav;turvis;Turdus viscivorus_Mistle Thrush;1
XC142638_4.wav;turvis;Turdus viscivorus_Mistle Thrush;0
XC143379_0.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC143379_1.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC143379_2.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC143379_3.wav;phopho;Phoenicurus phoenicurus_Common Redstart;1
XC145640_0.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC145640_1.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC145640_2.wav;colpal;Columba palumbus_Common Wood Pigeon;1
XC147757_0.wav;turmer;Turdus merula_Common Blackbird;1
XC147757_1.wav;turmer;Turdus merula_Common Blackbird;1
XC147757_2.wav;turmer;Turdus merula_Common Blackbird;1
XC147757_3.wav;turmer;Turdus merula_Common Blackbird;1
XC148842_0.wav;lusmeg;Luscinia megarhynchos_Common Nightingale;1
